200 400 600 800 1000 1200 1400 1600 1800 2000 2200 2400 2600 2800 3000 3200 3400 3600 3800 4000 4200 4400 4600 4800 5000 5200 5400 5600 5800 6000 6200 6400 6600 6800 7000 7200 7400 7600 7800 8000 8200 8400 8600 8800 9000 9200 9400 9600 9800 10000
(0.6559768431132555-0.0744663155373821j) (1.3119810473375748-0.14894228427329614j) (1.9680400050870477-0.22343758384129833j) (2.624181170264876-0.2979619129102808j) (3.2804320927041717-0.37252505886276577j) (3.93682044891268-0.4471368726626513j) (4.593374077242161-0.5218073154900742j) (5.250121014772734-0.5965464793893076j) (5.907089534872493-0.6713646147651855j) (6.564308188842149-0.7462721613230398j) (7.221805850423993-0.821279782833859j) (7.879611764557949-0.8963984069978631j) (8.537755599887367-0.9716392713397615j) (9.196267508820787-1.0470139772878768j) (9.855178193568682-1.122534553948116j) (10.51451897857451-1.1982135341397229j) (11.174321895066823-1.27406404671377j) (11.834619773148855-1.3500999284106432j) (12.495446352537916-1.4263358629429885j) (13.156836400810112-1.5027875522076903j) (13.818825854176398-1.5794719324543591j) (14.481451975268998-1.6564074477455857j) (15.144753531975832-1.7336143995988231j) (15.808770998579835-1.8111153987718263j) (16.47354677237084-1.8889359526415817j) (17.139125416032662-1.9671052418731791j) (17.805553880924375-2.0456571454235446j) (18.472881719230454-2.124631620994054j) (19.14116120277024-2.2040765688780546j) (19.810447245567193-2.284050370276563j) (20.480796942165092-2.3646253705700246j) (21.15226837027473-2.445892680862138j) (21.824917989686483-2.527968782888814j) (22.49879547763921-2.611004553270512j) (23.17393386469461-2.6951973141060757j) (23.85033116825858-2.7808061103749737j) (24.527916910747987-2.868168805845856j) (25.20649272914095-2.9577148818954577j) (25.885631993975345-3.0499558592613614j) (26.564526220038648-3.1454088184462963j) (27.241800712267477-3.2443626509169j) (27.915443951295444-3.346361985137019j) (28.583242168689004-3.449417706992396j) (29.24420447759129-3.5495511939333744j) (29.900497554557813-3.642026762102044j) (30.557525432320315-3.7244696735638394j) (31.22082875069181-3.7987741292654436j) (31.892961667489796-3.869340816896497j) (32.57343020754863-3.940091957834374j) (33.26042611001787-4.013210186961232j)
(0.6644504885310205-0.07542831882368031j) (1.3289306316615659-0.15086710007414014j) (1.9934701187874906-0.22632683183832605j) (2.65809870828166-0.30181803198419516j) (3.322846264845225-0.37735130779876663j) (3.987742794791947-0.45293734377624656j) (4.6528184849186145-0.5285869457332812j) (5.318103743360824-0.6043110653259126j) (5.983629241813846-0.6801208307787121j) (6.649425961791942-0.7560275812867898j) (7.315525244211176-0.8320429057766788j) (7.981958843652472-0.9081786872384257j) (8.648758987213425-0.9844471538768463j) (9.315958440944184-1.0608609391672696j) (9.983590583250917-1.1374331527060588j) (10.651689486101365-1.214177464770619j) (11.320290008445843-1.291108208602382j) (11.98942789964497-1.3682405047103405j) (12.659139920742373-1.445590414393567j) (13.329463977676475-1.523175129638006j) (14.000439276812136-1.601013211791557j) (14.672106500329393-1.6791248933368523j) (15.344508005015028-1.7575324633696026j) (16.017688045421444-1.8362607646615838j) (16.691693017248753-1.9153378400712564j) (17.366571723141114-1.9947957830230396j) (18.04237563026608-2.074671863040614j) (18.71915910791607-2.1550100340979825j) (19.396979572006995-2.2358629697477315j) (20.075897426142692-2.3172948317103153j) (20.75597559997337-2.399385063396619j) (21.437278302501138-2.4822336076617275j) (22.119868311315216-2.5659680861454306j) (22.80380155600612-2.6507536067973243j) (23.489116772608142-2.7368058950470946j) (24.175816224115174-2.824408056502382j) (24.86383054211109-2.9139297135051128j) (25.55295623733433-3.005842573595696j) (26.242749468905156-3.100714458258769j) (26.932361021290642-3.1991367861074593j) (27.620329142299468-3.3014917461165334j) (28.304466413032756-3.4074198444722974j) (28.982238475642692-3.5149561434025385j) (29.65220428497297-3.6198910342222455j) (30.316227343373164-3.7168145383361604j) (30.980036219246834-3.8024553665602983j) (31.6501372799875-3.8782900858061917j) (32.32999767172467-3.949100818727465j) (33.019461855608235-4.01954541587982j) (33.71658961854778-4.0923897043230175j)
(0.6730136580857352-0.07640048812195327j) (1.3460593496828406-0.15281227804676906j) (2.0191691467556225-0.2292466960132915j) (2.6923751985735893-0.3057151175401823j) (3.3657097713759243-0.3822289931018633j) (4.039205289277363-0.4587998750931154j) (4.712894376877821-0.5354394465934122j) (5.3868099040775155-0.612159552515024j) (6.060985033661032-0.6889722338195561j) (6.735453272279005-0.7658897656287685j) (7.410248525542151-0.8429247002244546j) (8.085405158057403-0.920089916174655j) (8.760958059357977-0.9973986751176973j) (9.436942716827495-1.0748646881425696j) (10.113395296913053-1.1525021942242712j) (10.790352736114102-1.2303260538553886j) (11.467852843479491-1.3083518619503605j) (12.145934416599125-1.3865960853039228j) (12.824637373331054-1.4650762315426236j) (13.504002901760904-1.5438110587429101j) (14.184073631027434-1.6228208379121019j) (14.864893825627284-1.7021276847267244j) (15.546509605393238-1.7817559826895917j) (16.228969192177736-1.8617329279203068j) (16.912323181826622-1.9420892371062755j) (17.596624835097654-2.022860076073389j) (18.281930372033585-2.1040862890708647j) (18.9682992374409-2.1858160410176333j) (19.6557942746672-2.2681070306596127j) (20.34448168998712-2.3510294971041343j) (21.034430591266734-2.434670331742862j) (21.725711706866146-2.519138727441521j) (22.418394570806168-2.604573945257844j) (23.112541876843633-2.6911559264481895j) (23.808198679990458-2.7791195312163106j) (24.505372266403377-2.8687728325668806j) (25.203995426872336-2.960518378448222j) (25.903861066187382-3.054871712709824j) (26.604510457447425-3.1524594395684256j) (27.30505725553976-3.2539517105335176j) (28.003957761204145-3.359832806929017j) (28.698853306951083-3.469857628921933j) (29.386882454466505-3.582121229448698j) (30.066107369986547-3.6922314228026183j) (30.73797535955156-3.7941107235025346j) (31.408425620622356-3.8834726505946624j) (32.08496273182737-3.9611798705472103j) (32.77214358635169-4.032303850870201j) (33.47030779089697-4.10230172210618j) (34.177434519241395-4.1746382626273055j)
(0.6816587473253379-0.07738196007111554j) (1.3633519895405866-0.15477609042706472j) (2.045114264059068-0.23219458837546217j) (2.726980193783095-0.30964970572034967j) (3.4089845309657445-0.3871537771549209j) (4.09116220244584-0.464719250078411j) (4.773548356763596-0.5423587164004363j) (5.456178413713635-0.6200849469759921j) (6.139088116955066-0.6979109294287098j) (6.8223135903672985-0.775849910265899j) (7.5058913989534775-0.8539154423847989j) (8.189858615185008-0.9321214393241698j) (8.874252891845435-1.010482237945875j) (9.559112542588032-1.0890126716684594j) (10.244476631615491-1.1677281569416196j) (10.930385074129044-1.2466447964074565j) (11.616878749437689-1.3257795031865212j) (12.30399962891512-1.4051501520589043j) (12.99179092127167-1.4847757651028517j) (13.680297237871674-1.5646767417591825j) (14.369564781017427-1.6448751465898899j) (15.059641558093563-1.7253950725038465j) (15.750577624043823-1.8062631034623966j) (16.44242535345464-1.8875089093506825j) (17.13523974093923-1.9691660178498949j) (17.829078723361775-2.0512728252742964j) (18.524003507824137-2.1338739325833793j) (19.220078871641196-2.217021927224669j) (19.91737336861793-2.300779780343458j) (20.615959318487885-2.3852240979109682j) (21.315912353377907-2.4704495601792673j) (22.01731010992034-2.556575012721589j) (22.720229322924176-2.6437518333664705j) (23.424739971002694-2.732175365075548j) (24.130894061923495-2.8221002850035894j) (24.83870471830346-2.913860466743022j) (25.54810800553611-3.0078924399471467j) (26.25889486285533-3.104757025261105j) (26.970594231787295-3.2051418264237475j) (27.682286705118855-3.3097997030203485j) (28.39235278227043-3.419325199209848j) (29.09826961737397-3.5336055261012738j) (29.796847395909435-3.650832668868479j) (30.485612106698245-3.766488628344752j) (31.165479494069622-3.8738558927908096j) (31.842456101156248-3.9675296855333095j) (32.52504076206389-4.047539440339871j) (33.21905913026857-4.119108776585533j) (33.9255364501649-4.18853821260915j) (34.64244977648801-4.260117651877122j)
(0.690378420259874-0.07837190177863844j) (1.3807938761176923-0.15675687032363736j) (2.0712834500191684-0.2351680021720528j) (2.7618843185918664-0.3136184538989152j) (3.4526338009672677-0.3921214733957927j) (4.143569408612944-0.4706904327183022j) (4.834728897236203-0.5493388631186378j) (5.526150321369471-0.6280804929733622j) (6.21787209231736-0.7069292894354352j) (6.909933040227428-0.7858995048024864j) (7.602372481153606-0.8650057288051108j) (8.295230290104112-0.9442629482982221j) (8.988546981229378-1.023686616193867j) (9.68236379647228-1.103292731959025j) (10.376722804237398-1.1830979366028054j) (11.071667009867962-1.2631196259141855j) (11.767240480008182-1.3433760867752094j) (12.463488483241083-1.4238866628252675j) (13.160457649698154-1.5046719576781336j) (13.858196152640716-1.5857540865025166j) (14.55675391522224-1.667156990322396j) (15.256182845616703-1.7489068322515688j) (15.956537103309364-1.83103250156832j) (16.65787339806887-1.9135662608555684j) (17.36025132045723-1.9965445844299685j) (18.063733697332825-2.0800092546144233j) (18.768386955770037-2.1640088082811864j) (19.474281460293426-2.2486004628523815j) (20.181491755051347-2.3338527029962717j) (20.890096582693467-2.4198487827673545j) (21.600178444609885-2.5066915001548007j) (22.311822274983026-2.594509738769327j) (23.02511245667784-2.683467445367174j) (23.74012678137458-2.7737758962656813j) (24.456924858977324-2.865710213981297j) (25.17552649195689-2.959630826370438j) (25.895872191504953-3.056009181927206j) (26.61775267522858-3.155452636356821j) (27.34068730609431-3.258711721533199j) (28.063728091812223-3.3666255105494245j) (28.785186809052558-3.4799062284722244j) (29.502385787558662-3.5985903601820035j) (30.21181085238198-3.721003989062442j) (30.91042123809648-3.84256699428771j) (31.598487781570874-3.9559707956334362j) (32.281914076911605-4.054612089537019j) (32.970144724584806-4.137451609470756j) (33.67044512009938-4.209677481946908j) (34.38475079403678-4.278448036583208j) (35.11114882756481-4.349011184933551j)
(0.6991656039253925-0.07936951020376716j) (1.3983708601867022-0.1587530104911283j) (2.097655472546327-0.23816452362620705j) (2.79705924815404-0.31761813827868834j) (3.4966221505904005-0.39712804335948215j) (4.196384354569011-0.4767085640752525j) (4.896386302908389-0.5563742003810128j) (5.596668766446629-0.6361396686054278j) (6.297272907640732-0.716019947155467j) (6.998240348684601-0.7960303273868221j) (7.699613245096282-0.8761864709522624j) (8.401434365862448-0.9565044752432177j) (9.103747181390528-1.03700094893406j) (9.806595960727591-1.1176931001476407j) (10.510025879732087-1.1985988404290282j) (11.214083142149393-1.2797369086057606j) (11.918815115870135-1.3611270197669256j) (12.624270486953131-1.4427900461570742j) (13.330499434374875-1.5247482388573772j) (14.037553828772243-1.607025501920346j) (14.745487458687236-1.6896477344555805j) (15.454356287834011-1.7726432613401346j) (16.16421874649634-1.8560433804225271j) (16.87513605887314-1.9398830640203915j) (17.587172605411553-2.0242018664075765j) (18.300396313572776-2.1090451084834965j) (19.014879059989568-2.194465438382929j) (19.730697047759953-2.2805249057742505j) (20.447931088006516-2.367297742887668j) (21.166666652715318-2.4548741232595934j) (21.886993455024562-2.5433652776872j) (22.60900411455127-2.63291049362486j) (23.33279111020943-2.7236867110639293j) (24.05844057958068-2.8159216313756374j) (24.78602039568149-2.909911393070416j) (25.515557908139844-3.0060436474637853j) (26.246999290870683-3.104825573281429j) (26.980136869722788-3.206912127122499j) (27.714483348180014-3.313118391034164j) (28.449066973136613-3.424372646691264j) (29.182138691204244-3.5415113577418693j) (29.910877454404687-3.6647359725455493j) (30.631453993381985-3.7925431672079206j) (31.34024025038031-3.920359583170321j) (32.03675537127651-4.040355737700453j) (32.72660703250753-4.144679357380233j) (33.42008585623674-4.230980424364721j) (34.12604716526293-4.3041703605113835j) (34.84759340283529-4.372238415721438j) (35.583074186867954-4.44152425649355j)
(0.7080134822211113-0.08037401145850344j) (1.416069306100189-0.16076296193820847j) (2.1242098695555742-0.24118182621251222j) (2.832477683610163-0.32164565115493793j) (3.540915430420777-0.4021695933009544j) (4.249566023119709-0.4827689582894684j) (4.958472668138029-0.5634592429250006j) (5.667678930745773-0.6442561807047184j) (6.377228804616713-0.7251757918019093j) (7.0871667863301075-0.8062344386855349j) (7.797537955843457-0.887448888803599j) (8.50838806412028-0.9688363860914371j) (9.219763629278082-1.05041473347774j) (9.931712042839699-1.1322023891234618j) (10.644281687920518-1.2142185798524037j) (11.357522071482098-1.2964834361691016j) (12.071483973103406-1.3790181545376827j) (12.786219613109216-1.4618451942394168j) (13.50178284324538-1.544988518376992j) (14.218229363468481-1.6284738915886798j) (14.935616968678042-1.7123292511089065j) (15.654005829249101-1.7965851733805365j) (16.37345880881977-1.88127546606071j) (17.094041821474832-1.9664379258642204j) (17.81582422759126-2.052115317443717j) (18.538879261806482-2.1383566492217496j) (19.263284475744015-2.2252188512649536j) (19.989122158169355-2.3127690016054765j) (20.716479659444907-2.401087305819134j) (21.445449483016176-2.4902711170720018j) (22.17612889228626-2.5804403985458846j) (22.908618576991373-2.671745185764489j) (23.643019558565978-2.764375805988298j) (24.379426854971207-2.8585768344809686j) (25.117917270699497-2.954665935134543j) (25.858526587331315-3.0530585631998988j) (26.601207893722567-3.154298307877796j) (27.345757021491632-3.259088592232433j) (28.09168306598792-3.3683103502210683j) (28.837995619146234-3.4829835259562167j) (29.58289337403932-3.604074432801833j) (30.32342520745011-3.731963624605805j) (31.055461043440822-3.8653533418301507j) (31.774775854279873-3.9997491131630603j) (32.48004131011634-4.126890575788263j) (33.17635974019776-4.237661748207089j) (33.874712305373905-4.3281651200395626j) (34.58565884616967-4.402740716063002j) (35.31375180752422-4.470127926424733j) (36.05780260964856-4.537884371845342j)
(0.7169154891847513-0.08138466004494696j) (1.4338760783577422-0.1627852324075934j) (2.150926928855395-0.24421766839117767j) (2.8681133253470668-0.3256979979188666j) (3.5854807391116834-0.40724237049205997j) (4.30307489328875-0.4888670981964389j) (5.020941830835517-0.570588701562347j) (5.739127985986486-0.6524239592000217j) (6.4576802600971375-0.7343899622830311j) (7.176646102863112-0.8165041751634584j) (7.89607360003752-0.8987845036682516j) (8.616011568930789-0.9812493729795877j) (9.336509663178648-1.0639178174553217j) (10.057618488489009-1.1468095853450182j) (10.779389731357549-1.2299452621305866j) (11.501876303055129-1.3133464172423606j) (12.225132501553649-1.3970357802462448j) (12.949214194443613-1.481037454388575j) (13.674179026322458-1.5653771777628538j) (14.400086654504838-1.6500826455825117j) (15.126999017223557-1.7351839113773548j) (15.85498063854532-1.8207138908553913j) (16.58409897380276-1.9067090003060936j) (17.314424798057452-1.9932099726499166j) (18.046032637103-2.08026290988786j) (18.779001234583664-2.1679206526039425j) (19.513414037555922-2.2562445779998215j) (20.249359662315054-2.345306981476667j) (20.986932265310294-2.4351942583469004j) (21.726231678012756-2.5260111889528964j) (22.467363047127836-2.61788675132738j) (23.210435512205844-2.7109820498258204j) (23.955559079853245-2.8055011605060396j) (24.702838181499104-2.901705935931807j) (25.452359224537016-2.9999360105500434j) (26.204167318240966-3.100635131903042j) (26.958223743204435-3.204383844649293j) (27.71432978342786-3.3119346981917785j) (28.47199407539492-3.4242354506840504j) (29.230212876226805-3.5423996003327125j) (29.987141748194993-3.6675279111150245j) (30.7397143794204-3.800192412662821j) (31.483518819783114-3.9393335842320663j) (32.21373463806565-4.080609147594205j) (32.928105288513365-4.215435359889577j) (33.63100967053912-4.333457868141761j) (34.33390682865568-4.429013889461373j) (35.04912409927652-4.505528069171411j) (35.78296391583495-4.572342626765348j) (36.53495082308977-4.638340475241771j)
(0.7258653018460567-0.0824007380445534j) (1.4517785273274315-0.1648183847600851j) (2.177787666767675-0.24726989119662968j) (2.9039408445590658-0.3297722938677791j) (3.6302863879462937-0.4123427592729441j) (4.356872897956344-0.4949986306450576j) (5.08374932326688-0.5777574777977813j) (5.810965037878821-0.6606371510697259j) (6.538569923550325-0.7436558405308651j) (7.26661445806295-0.8268321418376964j) (7.995149810540314-0.9101851304128173j) (8.724227945204186-0.9937344460040475j) (9.453901735183765-1.077500390165397j) (10.184225088212333-1.1615040398436163j) (10.91525308637848-1.2457673810819392j) (11.647042142405589-1.3303134679518205j) (12.379650175342132-1.415166613253678j) (13.113136808962171-1.500352619443154j) (13.847563596627557-1.5858990607725938j) (14.582994276777567-1.6718356310693172j) (15.319495063565345-1.7581945761665465j) (16.057134977232153-1.8450112363026574j) (16.795986218427753-1.9323247324118455j) (17.53612458934365-2.0201788421103153j) (18.277629961501937-2.108623127703713j) (19.02058678389725-2.1977144016276684j) (19.76508461366738-2.287518647165299j) (20.511218630346388-2.37811355807203j) (21.259090056805267-2.4695919252968435j) (22.008806342304307-2.562066190023213j) (22.76048084293054-2.6556746089921712j) (23.51423152092298-2.750589650935025j) (24.27017780460572-2.8470294677441452j) (25.028434067477292-2.9452735450184875j) (25.789096989960058-3.0456838662697465j) (26.55222190907211-3.148732864930351j) (27.31777958778533-3.255038448085962j) (28.085578739567815-3.3654027424919906j) (28.85513075496787-3.480840968636554j) (29.62542402331486-3.6025614968132955j) (30.39458050429928-3.7318030910570212j) (31.159434872708616-3.8693396851650164j) (31.915316379876373-4.014379703534287j) (32.65682194387678-4.162805486248471j) (33.380704505529714-4.305831618193445j) (34.09040174854423-4.431933157417177j) (34.797583028101094-4.533497764928372j) (35.516338494055525-4.612650422715j) (36.25502333141102-4.6791108561966634j) (37.01418179927486-4.743161379591092j)
(0.734856832779346-0.08342155427329354j) (1.4697644743648675-0.1668610352895806j) (2.2047738058408806-0.2503364157230332j) (2.939935853597706-0.33386576087469366j) (3.6753018638807196-0.4174672769257613j) (4.410923379662936-0.5011593616010764j) (5.146852320701643-0.5849606581886804j) (5.883141067714078-0.6688901139940914j) (6.619842551705861-0.752967044487403j) (7.357010349614587-0.8372112046383726j) (8.094698787576057-0.9216428692481969j) (8.832963053323514-1.006282924487445j) (9.571859319441108-1.091152973376037j) (10.3114448794707-1.1762754586267834j) (11.051778299187141-1.2616738071533142j) (11.792919585718023-1.3473726017227299j) (12.53493037760574-1.4333977867520875j) (13.277874159357356-1.5197769172897886j) (14.021816504527552-1.6065394629120466j) (14.76682535182992-1.6937171819037202j) (15.512971319135465-1.7813445859703767j) (16.260328060369858-1.8694595223792791j) (17.008972669904256-1.9581039095251709j) (17.758986137733842-2.047324674434383j) (18.510453855609185-2.1371749581280057j) (19.263466168043802-2.2277156789879595j) (20.018118950295122-2.3190175783381357j) (20.77451417377694-2.4111639203500745j) (21.532760380550236-2.504254085999614j) (22.29297291938638-2.598408395881711j) (23.0552736733929-2.6937746292982574j) (23.81978979175328-2.7905368881059918j) (24.586650551986146-2.888927690598613j) (25.3559807926247-2.9892444622058485j) (26.12788812966417-3.091871844778599j) (26.902439026242828-3.1973112548547964j) (27.67961502152335-3.306218229374481j) (28.45923424770404-3.419444713651396j) (29.240814092432238-3.538073694043312j) (30.0233406250388-3.6634091548070438j) (30.80491199620297-3.796830338419917j) (31.58228102372204-3.939321453907579j) (32.35054478233301-4.0903850601496075j) (33.10374100343972-4.2461976989731545j) (33.837590804763735-4.397904241070927j) (34.55438267007046-4.53291945498397j) (35.26568007287443-4.6415449689549595j) (35.98724906360967-4.724195630779032j) (36.729784293029866-4.790656558779874j) (37.495211499289375-4.8526330729312415j)
